"Site","Aspect","Slope","severity","aspen","distance.pre","distance.post","distance.high","elevation","ppt","ppt.111212345","ppt.678910","tmean","tmin1","tmax7","tmax.678910","ppt.2021","ppt.111212345.2021","ppt.678910.2021","tmax.678910.2021","ppt.2022","ppt.111212345.2022","ppt.678910.2022","tmax.678910.2022","bb.presence","bb.severity","Longitude","Latitude","FoldedAspect","PotentialDirRad","HeatLoad"
2,169,8,3,0,248.39485168457,349.284973144531,94.8683319091797,2514.7119140625,459.457000732422,250.248497009277,204.181095123291,5.10999965667725,1.24459993839264,25.1571998596191,20.4772796630859,452.648101806641,300.204188346863,152.721598148346,21.8792791366577,412.063201904297,215.002694129944,183.78319644928,21.7921394348145,NA,NA,-105.529769339137,40.6161287316818,124,-0.373052137963332,0.688629328177304
3,12,10,4,0,358.050262451172,358.050262451172,84.8528137207031,2550.5517578125,459.457000732422,250.248497009277,204.181095123291,5.10999965667725,1.24459993839264,25.1571998596191,20.4772796630859,452.648101806641,300.204188346863,152.721598148346,21.8792791366577,412.063201904297,215.002694129944,183.78319644928,21.7921394348145,0,67,-105.53398597658,40.6156498653576,33,-0.206328747398159,0.813565574749183
4,84,7,4,0,414.004821777344,721.110229492188,42.4264068603516,2858.67846679688,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,1,65,-105.856018960989,40.5957305936266,39,-0.255908956031116,0.774212452958097
5,75,5,4,0,393.954315185547,605.392395019531,30,2821.47338867188,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,1,63,-105.855099169886,40.5949626571476,30,-0.350564643647474,0.704290304379455
6,173,6,4,0,256.124969482422,541.202331542969,84.8528137207031,2832.73291015625,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,1,69,-105.855069105693,40.5935304934271,128,-0.173676949899013,0.840568399508068
7,30,7,4,0,143.17822265625,200.997497558594,189.736663818359,2706.87646484375,488.333984375,508.55578994751,242.470096588135,2.55999994277954,-3.43069982528687,20.5845985412598,16.0407196044922,748.584106445312,473.024990081787,222.22579574585,17.0205194473267,737.586608886719,538.22278213501,191.547798156738,17.0094795227051,1,55,-105.862407734531,40.644987552724,15,-0.157823688605157,0.85400033868657
8,340,9,4,0,63.2455520629883,63.2455520629883,60,2730.2685546875,545.655883789062,508.55578994751,242.470096588135,2.80999994277954,-3.43069982528687,20.5845985412598,16.0407196044922,748.584106445312,473.024990081787,222.22579574585,17.0205194473267,737.586608886719,538.22278213501,191.547798156738,17.0094795227051,1,71,-105.863878506168,40.6434811247038,65,-0.143611494865135,0.866224215250927
9,66,10,4,0,348.281494140625,348.281494140625,123.693168640137,2865.51245117188,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,46,-105.854193221358,40.5887803680788,21,-0.132472600522602,0.875926933717636
10,330,8,4,0,210.23796081543,210.23796081543,60,2896.95703125,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,25,-105.85638730698,40.5884758422149,75,-0.458995818041214,0.631917887548532
11,92,10,4,0,80.6225738525391,782.943176269531,301.496246337891,2898.95922851562,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,10,-105.861315660399,40.5931327412691,47,-0.132352012586877,0.876032566307299
12,32,11,4,0,268.700592041016,390,216.333068847656,2929.056640625,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,18,-105.859242485522,40.5899681038189,13,-0.440574161391771,0.64366674637189
13,338,11,4,0,10,114.017547607422,67.0820388793945,3050.0068359375,820.0830078125,545.599395751953,258.86499786377,1.30999994277954,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,34,-105.875583810194,40.5635398695296,67,-0.322486931653947,0.724345397741383
14,342,7,1,0,141.421356201172,141.421356201172,0,3067.91381835938,866.578002929688,734.169784545898,316.217197418213,1.17999994754791,-3.90089988708496,20.0844993591309,15.546319770813,1079.11071777344,683.099380493164,281.355588912964,16.4862796783447,1065.51403808594,820.070171356201,258.191688537598,16.5003000259399,NA,NA,-105.874364894969,40.5597383956538,63,-0.39964044738959,0.670561104692039
15,340,8,4,1,0,330.605499267578,268.328155517578,3024.48193359375,760.726989746094,545.599395751953,258.86499786377,1.33999991416931,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,60,-105.868379719296,40.5664049804564,65,-0.154429066223234,0.85690427344279
16,58,3,4,0,134.164077758789,228.035095214844,90,3011.54931640625,760.726989746094,545.599395751953,258.86499786377,1.33999991416931,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,34,-105.866673719468,40.5641926287274,13,-0.308731877695522,0.734377646658555
17,108,6,4,0,78.1025009155273,104.40306854248,90,2714.85083007812,545.655883789062,508.55578994751,242.470096588135,2.80999994277954,-3.43069982528687,20.5845985412598,16.0407196044922,748.584106445312,473.024990081787,222.22579574585,17.0205194473267,737.586608886719,538.22278213501,191.547798156738,17.0094795227051,0,57,-105.865669964109,40.64554600127,63,-0.381138459075533,0.683083303989149
18,12,4,4,0,141.421356201172,260.192230224609,240,2732.908203125,488.333984375,508.55578994751,242.470096588135,2.55999994277954,-3.43069982528687,20.5845985412598,16.0407196044922,748.584106445312,473.024990081787,222.22579574585,17.0205194473267,737.586608886719,538.22278213501,191.547798156738,17.0094795227051,1,56,-105.861779981324,40.6422400095694,33,-0.238176863321581,0.788063299274758
19,84,10,4,0,143.17822265625,158.113876342773,189.736663818359,2737.01098632812,502.186981201172,508.55578994751,242.470096588135,2.44000005722046,-3.43069982528687,20.5845985412598,16.0407196044922,748.584106445312,473.024990081787,222.22579574585,17.0205194473267,737.586608886719,538.22278213501,191.547798156738,17.0094795227051,1,73,-105.861430013914,40.6365899648721,39,-0.258002136438816,0.772593581506248
20,12,10,4,0,460.977203369141,460.977203369141,42.4264068603516,2946.99169921875,723.367980957031,545.599395751953,258.86499786377,1.38989996910095,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,40,-105.862559989992,40.5783000421766,33,-0.205647052531624,0.814120367303212
21,298,1,3,0,361.247833251953,361.247833251953,30,3018.07055664062,803.721984863281,694.748191833496,303.02649307251,1.26999998092651,-4.19199991226196,19.6294002532959,15.1291398048401,1043.60046386719,654.415283203125,280.918691635132,16.0747793197632,1004.95129394531,772.776695251465,238.761791229248,16.0913597106934,NA,NA,-105.829059971924,40.5624000095066,107,-0.283086545907766,0.75345457662758
22,60,8,4,0,192.35383605957,192.35383605957,42.4264068603516,3206.73046875,999.608947753906,734.169784545898,316.217197418213,0.649999976158142,-3.90089988708496,20.0844993591309,15.546319770813,1079.11071777344,683.099380493164,281.355588912964,16.4862796783447,1065.51403808594,820.070171356201,258.191688537598,16.5003000259399,1,60,-105.886464821878,40.5484392728393,15,-0.142275614158976,0.867382160733599
23,194,13,4,0,156.205001831055,156.205001831055,123.693168640137,3255.33544921875,1069.38696289062,734.169784545898,316.217197418213,-0.239999994635582,-3.90089988708496,20.0844993591309,15.546319770813,1079.11071777344,683.099380493164,281.355588912964,16.4862796783447,1065.51403808594,820.070171356201,258.191688537598,16.5003000259399,1,67,-105.889831502981,40.5485034789426,149,-0.418036335572198,0.658338306891148
24,160,12,4,0,133.416641235352,155.563491821289,90,3196.15893554688,1069.38696289062,734.169784545898,316.217197418213,-0.239999994635582,-3.90089988708496,20.0844993591309,15.546319770813,1079.11071777344,683.099380493164,281.355588912964,16.4862796783447,1065.51403808594,820.070171356201,258.191688537598,16.5003000259399,1,68,-105.889979894652,40.5463312205738,115,-0.141180437288727,0.868332617978097
25,130,7,4,0,808.084167480469,808.084167480469,67.0820388793945,3068.7275390625,711.747985839844,520.863784790039,252.696296691895,1.33999991416931,-3.48159980773926,20.6906986236572,16.1456993103027,811.904663085938,501.243392944336,237.737689971924,17.1312995910645,750.796875,561.593585968018,187.37459564209,17.1244398117065,0,0,-105.809564443663,40.5616881168715,85,-0.190876956353758,0.826234244771092
26,240,48,4,0,660.378662109375,660.378662109375,174.928558349609,3098.4609375,762.032958984375,694.748191833496,303.02649307251,1.25999999046326,-4.19199991226196,19.6294002532959,15.1291398048401,1043.60046386719,654.415283203125,280.918691635132,16.0747793197632,1004.95129394531,772.776695251465,238.761791229248,16.0913597106934,1,61,-105.812698032632,40.561963404701,165,-0.291234490183191,0.747340413479524
27,120,11,4,0,594.138061523438,594.138061523438,60,3090.89282226562,762.032958984375,694.748191833496,303.02649307251,1.25999999046326,-4.19199991226196,19.6294002532959,15.1291398048401,1043.60046386719,654.415283203125,280.918691635132,16.0747793197632,1004.95129394531,772.776695251465,238.761791229248,16.0913597106934,NA,NA,-105.815901748508,40.5621750507023,75,-0.536209840380434,0.584961152241288
29,206,9,3,0,288.444091796875,435.660400390625,42.4264068603516,2600.35693359375,458.260986328125,250.248497009277,204.181095123291,5.10999965667725,1.24459993839264,25.1571998596191,20.4772796630859,452.648101806641,300.204188346863,152.721598148346,21.8792791366577,412.063201904297,215.002694129944,183.78319644928,21.7921394348145,0,53,-105.540863702126,40.612392717834,161,-0.265498822203265,0.766823346047131
30,58,5,2,0,131.52946472168,131.52946472168,0,2461.99047851562,463.218994140625,250.248497009277,204.181095123291,5.62999963760376,1.24459993839264,25.1571998596191,20.4772796630859,452.648101806641,300.204188346863,152.721598148346,21.8792791366577,412.063201904297,215.002694129944,183.78319644928,21.7921394348145,0,30,-105.525543533641,40.6154453529503,13,-0.340544863431298,0.711382610776886
31,266,14,4,0,190.262985229492,190.262985229492,161.554946899414,2573.93774414062,430.733978271484,220.117094039917,185.312198638916,4.86999988555908,2.21389985084534,25.8618984222412,21.1907194137573,391.963195800781,273.749289512634,119.574197292328,22.7720796585083,347.281280517578,177.351294517517,157.071497917175,22.6579795837402,0,13,-105.584034993125,40.7235749067124,139,-0.412781813263085,0.66180666451279
32,158,3,3,0,360.555114746094,379.473297119141,42.4264068603516,2612.49096679688,430.733978271484,220.117094039917,185.312198638916,4.86999988555908,2.21389985084534,25.8618984222412,21.1907194137573,391.963195800781,273.749289512634,119.574197292328,22.7720796585083,347.281280517578,177.351294517517,157.071497917175,22.6579795837402,0,7,-105.582304624976,40.7220341690831,113,-0.332677052645334,0.717001710575601
34,194,9,4,0,560,850.940612792969,60,3107.90112304688,785.903991699219,520.863784790039,252.696296691895,0.56989997625351,-3.48159980773926,20.6906986236572,16.1456993103027,811.904663085938,501.243392944336,237.737689971924,17.1312995910645,750.796875,561.593585968018,187.37459564209,17.1244398117065,NA,NA,-105.774144140206,40.5221028794663,149,-0.364306237277083,0.694678425736127
35,90,5,4,0,340,868.849792480469,127.27921295166,3095.13793945312,785.903991699219,520.863784790039,252.696296691895,0.56989997625351,-3.48159980773926,20.6906986236572,16.1456993103027,811.904663085938,501.243392944336,237.737689971924,17.1312995910645,750.796875,561.593585968018,187.37459564209,17.1244398117065,1,38,-105.771582882576,40.5221470373626,45,-0.283454523868842,0.753177372954259
37,196,12,4,0,855.62841796875,1097.31494140625,60,3117.640625,803.818969726562,520.863784790039,252.696296691895,0.610000014305115,-3.48159980773926,20.6906986236572,16.1456993103027,811.904663085938,501.243392944336,237.737689971924,17.1312995910645,750.796875,561.593585968018,187.37459564209,17.1244398117065,NA,NA,-105.781231419501,40.5234695694322,151,-0.499074914836348,0.607092011836462
38,190,4,4,0,576.974853515625,1106.52612304688,241.867736816406,3153.2587890625,785.903991699219,520.863784790039,252.696296691895,0.56989997625351,-3.48159980773926,20.6906986236572,16.1456993103027,811.904663085938,501.243392944336,237.737689971924,17.1312995910645,750.796875,561.593585968018,187.37459564209,17.1244398117065,1,67,-105.777144871095,40.5243349501943,145,-0.319566158327263,0.726464139133852
